문장,유형,극성,시제,확실성,label
BluePosition Games는 기존 EOS 출판 계약이 종료된 후 19일부터 EOS: Double로 이름을 바꾸고 대규모 콘텐츠 업데이트와 함께 직접 서비스를 제공할 예정이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
"몽골 파고 (Mongolia Fago)는 서쪽 0.5 ~ 2.0 미터, 남쪽 0.5 ~ 2.5 미터 및 동쪽 1.0 ~ 3.0 미터가 될 것으로 예상된다.",예측형,긍정,과거,확실,예측형-긍정-과거-확실
결과는 아미그달린이 위암 치료에 중요한 수단으로 사용될 수 있다는 가능성을 보여줍니다.,예측형,긍정,현재,확실,예측형-긍정-현재-확실
복사율이 조정됨에 따라 중앙 은행의 복사본 공동 대출율도 곧 바뀔 것으로 전망된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
VideoMonster는 사용자가 만든 비디오의 객체 정보와 위치 정보를 사용하여 다양한 개발을 계획한다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"KBN, Shinhan, Hana, UI, IBK Enterprises 및 NH Agricultural Association Bank를 포함한 6개 대형 은행은 7월 4일부터 25일까지 전시회 홈페이지를 통해 종이 유형 신청서를 받게 되며, 종이 유형 통과자에게 8월 24일과 25일에 전시회를 인터뷰할 수 있는 기회를 제공할 예정이다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
"상업용 비행 분야에서 자동 조종사 기술은 오랫동안 존재했지만, 항공 우주 공학 교수 인 Shenzhen Kaist에 따르면 헬리콥터 조종사는 일자리를 잃는 최초의 노동자가 될 것이다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
"경찰 장관 김정은은 경찰 내부 네트워크에 ""그는 결코 현장에서 연주하지 않을 것이고 역사의 자격을 갖춘 장관이 될 것""이라며 갈등이 악화 될 것으로 예상된다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"또한 대규모 기업들은 고속도로와 산시와 같은 기지 시설을 구축하여 투자를 신속하게 할 수 있지만 아직 준비되지 않은 ""중간지""를 즉시 공급할 계획이다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
"바다의 파도는 서쪽 앞바다에서 0.5m, 남쪽 앞바다에서 0.5m에서 1.0m, 동쪽 앞바다에서 0.5m에서 1.5m이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"또한, 이러한 기관은 17에서 전시회에 대한 홈페이지를 열고 재정 정책 모집 정보 플랫폼으로 작동한다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
대기 역이 국내에서 발생하는 오염 물질을 축적하고 중국과 같은 다른 국가에서 흐르는 오염 물질을 추가 할 것으로 예상되며 주말까지 계속된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"판매하지 않는 기업, 여기서 구매하지 않는 소비자는 계속 성장할 것으로 예상된다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"이와 관련하여 정부는 올해 말까지 알가르브 교통 카드 사용자 수를 현재 39,000명에서 45,000명으로 늘릴 계획이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"특히 독감 백신, 독감 백신 및 B 이식 백신과 같은 다양한 백신을 통해 축적된 연구 및 개발 능력은 Corona 19 백신 개발에 적용될 것으로 전망된다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
또한 새로운 코로나 상황이 조직 될 것이라는 신호에 따르면 Bitcoin이 주요 수혜자가 될 것으로 예상된다.,예측형,긍정,과거,불확실,예측형-긍정-과거-불확실
짧은 양식 비디오 자동 제작 솔루션 엔터프라이즈 비디오몬스터는 다음 달 긴 양식 비디오 편집 앱 'Vive'를 출시한다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
중국의 차단 조치는 점차적으로 완화되기 시작하고 있으며 미국이 운전 시즌에 들어가면서 휴일 철강 원료 수요가 증가 할 전망이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
대규모 국내 모바일 게임 시장이 경쟁에 빠질 것으로 전망된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
Copix 수익률이 상승함에 따라 중앙 은행의 대출률은 16에서 올라갈 것으로 전망된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"앞으로도 한국 게이머들과의 협력을 더욱 확대할 것이며, 관련 뉴스도 계속 출판될 것이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"주 경찰부는 또한 자체 조언 팀을 준비하고 있으며, 행정부와의 미래 권력 갈등이 심화 될 것으로 보인다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"미시시피는 강을 제외한 모든 지역에서 ""행복""의 수준에있을 전망이다.",예측형,긍정,과거,불확실,예측형-긍정-과거-불확실
미래에는 내막 수술에 대한 보험료가 크게 줄어들고 일부 응급 수술도 차단될 것이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
지난 12 월에 명예 은퇴가 실시되었으며 향후 몇 년 동안 연간 360 억 유로의 비용을 절약 할 수있을 것으로 예상된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
마이크로 관리 농도는 전체 영역을 ‘일반적으로 좋은’ 수준으로 보여줄 것으로 예상된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
이것을 정상적인 사람의 유전자와 비교하면 어떤 유전자 돌연변이가 암을 일으키는지 알 수있을뿐만 아니라 최대 35 년 안에 암이 발생할지 여부를 예측할 수 있겠다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"바다 파도는 동해에서 0.5 ~ 1.5 미터, 서해에서 0.5 ~ 1.0 미터, 남해에서 0.5 ~ 1.0 미터, 동해에서 0.5 ~ 1.5 미터, 남해에서 1.5 미터로 전망된다.",예측형,긍정,현재,불확실,예측형-긍정-현재-불확실
날씨는 15 일 동안 전국적으로 분명하지만 서부 해안과 북서부 해안은 때때로 구름이 있겠다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
다양한 유동성 확장 정책이 중국의 확장에 기여할 전망이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
보유세 부담을 적절한 수준으로 되돌리기 위한 세금 감소와 같은 구체적인 보유세 개혁 제안은 7월에 확인될 예정이다.,예측형,긍정,현재,확실,예측형-긍정-현재-확실
"미래에는 통화 정책의 긴축 시계가 더 빨라질 수 있으며, 리더십, 부채 가구의 경우 금리 부담이 급속히 증가 할 것으로 예상된다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"또한, 우리는 오픈 게임 플랫폼 Wimicsplay, 대체 Untold 토큰 기반 분산 자치 조직 New Economy, 모든 재정을 가능하게 할 DiPay 서비스 등에 공개 될 다양한 서비스를 설명 할 것이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
중국의 코로나 19 상황이 실제 시나리오에 들어갔다는 진단으로 중국 주식 시장 상승율이 더욱 강해질 것으로 예상된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
계획은 게임 기반 스테이크 모델을 통해 선형 순환 생태계를 구축하고 건강한 토큰 경제를 설계하는 것이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"전염병으로 인한 수많은 제약과 위기에 의해 억압 된 일상적인 회복을위한 욕망이 강하게 표현되면서, 2022 년은 지금까지 중단 된 일상 생활을 해방시키고 고정 된 아이디어로 경계를 열어 줄 새로운 해가 될 것으로 예상된다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"또한, 광산의 향후 어려움을 고려할 때, 광산 수입의 광산 비용의 비율은 증가 할 것으로 예상된다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
2020년에는 은행들이 제3세계의 어둠을 뚫을 수 있는 ‘디지털 전략’에 집중할 전망이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
이 스트라이크에서 업계가 본 피해는 회복하는 데 오랜 시간이 걸릴 것이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
규제 판사는 100 명 이상의 민간 전문가로 구성되어 있으며 전문 분야에 따라 배정 될 것으로 전망된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
이 협력을 바탕으로 BoraNetwork는 Mitical Games의 아시아 태평양 플레이 전반 생태계에 대한 가이드 역할을 할 것이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
이렇게하면 사용자의 사용 가능성을 1 천에서 5 천으로 증가시킬 것이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"평가가 분할된다면 연간 1%의 이자율로 총 240,000 명이 덜 부담받을 것으로 예상된다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"늦은 저녁, 비는 때때로 수도와 시골, 그리고 또한 한국의 북서부 해안에 떨어질 것이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
특히 공공 생활을 강화하고 배달 비용과 주택 통계를 가까이 할 계획이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"Huawei는이 지역의 스타트업 생태계에 1 억 달러를 투자하고 향후 5 년 동안 500,000 명의 사람들에게 디지털 교육을 제공하여 디지털 경제를 발전시킬 수있는 재능을 육성 할 계획이다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
새로 임명된 대표는 현재 술집의 경영을 담당하고 있으며 고위 절차를 통과 한 후 Crafton 및 술집의 대표 역할을 할 것이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
코로나가 조직함에 따라 자동차의 유지 보수 및 검사 방법도 바뀔 전망이다.,예측형,미정,현재,확실,예측형-미정-현재-확실
식품 기술 산업의 최종 지점은 개인화 된 음식이 될 전망이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
이 게임은 국내 Google Play 판매 상위 10에 들어갈 것으로 예상된다.,예측형,긍정,현재,불확실,예측형-긍정-현재-불확실
"작년, 세계 최초의 ""하이퍼 스케일 AI 컴퓨팅""을 앞두고, 공공 기관의 수요뿐만 아니라 민간 시장은 아마존 웹 서비스와 진단 승리를 예측하고 있다.",예측형,긍정,현재,확실,예측형-긍정-현재-확실
전 목사와 그의 동료 두 명의 체포는 오후 늦게 결정될 것으로 예상된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
가격에 따라 달라지지만 감정적 인 평가 방법으로 유산과 부가세를 부과하면 수억 엔의 가치 세금이 상승 할 수있는 불가피한 전망이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"투자 은행 업계에서도 중소기업을위한 특별 사례 목록이 진행될 것이며, 앞으로 관련 기업 목록이 늘어날 것으로 예상된다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
기상 기관은 오늘 아침 서부 중앙 바다에 위치한 고온 압력의 경계에서 국가가 대부분 구름이 될 것이고 중앙 지역은 오후부터 때때로 구름이 될 것이라고 예측했다.,예측형,긍정,과거,확실,예측형-긍정-과거-확실
"넥슨과 EAAsian 스튜디오는 여름 중순에 대규모 업데이트를 통해 비슷한 수준의 클럽과 조건에서 ""가을 도전""이라는 새로운 모드를 추가 할 계획이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
정부는 냉동을 요구하고 있는 것으로 보인다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
부천 대장지구( 부천 대장지구)는 내년부터 땅 보상이 시작될 전망이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
특히 일몰이 떨어지는 지역에서는 중앙 내부 지역 주위에 폭풍과 폭풍이 떨어지는 것과 함께 폭풍과 폭풍이 발생할 것이다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
2017년 이후에 태어난 학생들은 2032년에 대학에 입학하고 2035년에 대학생이 되며 그 이후로 한국의 고급 기술 분야를 선도할 예정이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
차단된 대도시 지역의 사립 차별화를 촉진하기 위해서는 유지 보수 사업의 환율 등등이 상단 제한 시스템에 반영 될 것으로 전망되며 건설 비용의 재료 비용 감소를 반영 할 수있는 시스템 개선 계획도 제시 될 것이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
대통령과 우리 재무 총재의 바쁜 손은 그들이 재무 당국과 긴 법적 갈등을 겪을 것이며 작은 부담없이 행동 할 것이라는 신호이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
맥주와 애완 동물 맥주는 소비자에게 큰 영향을 미치지 않는 큰 세금 변화가 없을 전망이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
"2019 회계 연도에 대한 일반 주당 총 현금 지분, 기본 지급 중간인 당 500 파운드를 포함하여 2,100 파운드이며 해당 연간 지분 추세가 25.6%로 전망된다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
또한 발행 제한을 확장하기 위해 한국 전력 건설법의 향후 하반기에 추진할 계획이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
금융 당국은 단순한 카드 자동 지불 검색 기능을 넘어 미래의 자동 지불 카드 운영 서비스를 구축함으로써 금융 소비자의 선택과 카드 회사 서비스의 경쟁력을 높일 계획이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
그러나 이러한 수치는 현재 고등학교 또는 대학에 다니는 사람들의 절반 미만이 될 것으로 전망된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"탄력 노동 체계의 단위 확대는 의회에 의해 통과되지 않으며, 노동력의 특수 확대의 사유 재산의 확대는 실행 명령을 수정할 수있는 즉시 기간의 단위를 확장 할 것으로 전망된다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
특히 화재 경보가 오전 11시에 효력을 발휘할 때 따뜻하고 습한 공기가 흐르고 최대 체온이 33도 이상으로 상승하여 매우 뜨겁고 화재 경보가 확장 될 가능성이 있겠다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
기상청에 따르면 오전 5시까지 온도는 평년보다 3~4도 높을 것이지만 낮과 밤의 온도는 10~12시간 높을 것으로 예상된다.,예측형,긍정,현재,확실,예측형-긍정-현재-확실
"외국 자회사의 국내 모회사 지분이 세금이 부과되는 경우, 국가로 흐르는 자금의 효과가 큰 전망이다.",예측형,긍정,현재,확실,예측형-긍정-현재-확실
"중국은 미국의 바이러스 비상 사태를 보고 있으며, 약속을 이행할지 여부를 걱정하고 있는 것으로 보인다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
이러한 교육 기관은 곧 추가 절감과 함께 경계에 설 전망이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
"세계 증권 거래소는 이미 3,000조 달러 이상 떨어졌고 첫 번째 충격을 주었으며 실제 공장 운영은 실제 경제에 대한 손상에 따라 9 일 후에 가능한다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"금요일 3 일, 전국에 때때로 구름이 있으며 시야는 어둡겠다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
이 경우 트럼프 대통령이 공공 정책 성취로 자랑했던 첫 번째 단계 합의에 대한 평가의 변화는 미국 선거 정서에 영향을 미칠 것이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
"Baugh 교수는 ""국내 사업이라면 LP 자회사 부동산 시장이 완전히 운영되고 세금 혜택이 백업되어 중형 M&A 시장이 활성화 될 수 있도록 두 번째 벤처 붐이 계속 될 것입니다.""라고 말했다.",예측형,미정,현재,불확실,예측형-미정-현재-불확실
"대량 생산은 어렵고, 제조업체의 높은 가격으로 인해 세금의 높은 부분을 차지하는 가정용 맥주는 세금율의 변화로 가격 경쟁이 증가하는 것처럼 보인다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
"도매 가격은 작년 6 월에 19000 라인으로 형성되었지만 올해는 30-33,000 단위로 형성 될 것으로 예상되며 가격은 70 % 이상으로 상승 할 것이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
회계 기준으로 인해 2조 달러의 기준으로 평가되는 법의학 생활을 습득하는 것은 쉽지 않을 것으로 전망된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
올해 세계 경쟁이 계속 감소함에 따라 해외 금융 및 부동산 투자는 크게 줄어들 것으로 보인다.,예측형,긍정,현재,불확실,예측형-긍정-현재-불확실
공식적인 첫 단계가 될 것이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"KLPGA는 아시아 여성 골프의 중심지로 등장하며 ""대부분 맑고 밝은 날씨""를 유지할 전망이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
WeMade는 또한 Kakao Shopping Live를 통해 오후 10시에 두 번째 쇼케이스 “MirM” 특수 방송 “Total Soldat Point”을 개최한다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
"한국 고고학 연구국에 따르면, 오늘 아침, 전국의 모든 부분에서 일몰 시간은 서울에서 오후 7시 47분, 인스브룩에서 오후 7시 48분, 비숲에서 오후 7시 40분, 수조에서 오후 7시 47분, 포츠무스에서 오후 7시 33분, 울산에서 오후 7시 43분, 울산에서 오후 7시 42분, 후쿠시마에서 오후 7시 38분, 지앙수에서 오후 7시 40분, 남중국에서 오후 7시 40분이다.",예측형,긍정,현재,확실,예측형-긍정-현재-확실
"인공지능의 경우, 내년에는 대략 41,100 명의 노동력이 필요하며, 배출 된 노동력은 1,1500, 28600 명의 격차가 있지만 2030 년에 수요와 공급 사이의 격차는 71,600 명이 될 것이다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
2020년에는 한국 경제연구소가 한국의 제4차 산업혁명 분야에서 노동 부족률이 2025년까지 28.3%에 도달할 것으로 예측했다.,예측형,긍정,과거,불확실,예측형-긍정-과거-불확실
"아침의 최대 온도는 14-20도, 가장 낮은 온도는 25-32도로 전망된다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"이와 함께 정부는 정부 부서, 연구 기관, 경제 협회 및 그룹을위한 규제 전용 조직을 설립하고 규제 혁신 홍보 그룹과 밀접한 관계를 맺어 대량 규제를 개발하고 개발할 것이다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
중국은 새로운 코로나 바이러스 감염에 대처하고 내부 물을 정상화하기 위해 미국에 약속한 200억 달러의 추가 구매를 적절하게 구현하는 것이 어려울 것이다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
"만약 모든 중국 학생들이 이 나라에 입국한다면, 지역 사회에서 감염될 확률은 더욱 높아진다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
특히 7 월 14 일 첫날 오전 10시에 열리는 개막 행사에 참여하는 방문객에게는 상금 복권 이벤트에 참여할 수있는 기회를 제공한다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
개발과 관련된 기술적 경험뿐만 아니라 외부에 공개되지 않은 새로운 작업의 세부 사항은 강의를 통해 발표 될 전망이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"방어 소년 후, 올해의 ""기생충""이 연례 홈런을 때리고 한국의 콘텐츠 지향적 인 사랑의 색으로 이어질 것으로 예상된다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"동시에, 섬은 동부 중앙 바다의 약한 대기 압력에 영향을받을 것이며, 밤에 비 또는 눈이 올 것이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
그들은 또한 각 팀의 1:1 일치 개발자 리더와 온라인 멘토링을 통해 현장에서의 실시간 지식을 전달할 것이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"인플레이션 두려움은 정체로 옮겨지고 있으며, 한동안 주식, 채권 및 환율 시장이 약한 시장을 제거 할 수 없을 것으로 예상된다.",예측형,긍정,현재,불확실,예측형-긍정-현재-불확실
두 곳 모두 은행이 아닌 부문을 강화할 필요성을 강조하고 있으며 최고 경영진이 획득하고 통합하려는 의지가 그 어느 때보다 강해질 것으로 전망된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
